일자,지역,성별,연령,분야,건수
2025-08,부산광역시,남성,70,행정_안전,11
2025-08,부산광역시,남성,70,환경,2
2025-08,부산광역시,남성,80,과학기술,1
2025-08,부산광역시,남성,80,국방,1
2025-08,부산광역시,남성,80,기타,1
2025-08,부산광역시,남성,80,보건,1
2025-08,부산광역시,남성,80,우정,1
2025-08,부산광역시,남성,80,환경,1
2025-08,부산광역시,여성,10,경찰_검찰_법원,1
2025-08,부산광역시,여성,10,관광,1
2025-08,부산광역시,여성,10,교육,17
2025-08,부산광역시,여성,10,교통,2
2025-08,부산광역시,여성,10,국방,1
2025-08,부산광역시,여성,10,노동,1
2025-08,부산광역시,여성,10,문화,2
2025-08,부산광역시,여성,10,방송통신,1
2025-08,부산광역시,여성,10,보건,1
2025-08,부산광역시,여성,10,복지,1
2025-08,부산광역시,여성,10,산업_통상,1
2025-08,부산광역시,여성,10,행정_안전,4
2025-08,부산광역시,여성,20,경찰_검찰_법원,15
2025-08,부산광역시,여성,20,과학기술,4
2025-08,부산광역시,여성,20,관광,5
2025-08,부산광역시,여성,20,교육,54
2025-08,부산광역시,여성,20,교통,45
2025-08,부산광역시,여성,20,국방,3
2025-08,부산광역시,여성,20,기타,10
2025-08,부산광역시,여성,20,노동,18
2025-08,부산광역시,여성,20,농림_축산,2
2025-08,부산광역시,여성,20,도로,10
2025-08,부산광역시,여성,20,도시,2
2025-08,부산광역시,여성,20,문화,7
2025-08,부산광역시,여성,20,방송통신,22
2025-08,부산광역시,여성,20,보건,50
2025-08,부산광역시,여성,20,복지,3
2025-08,부산광역시,여성,20,산업_통상,17
2025-08,부산광역시,여성,20,수자원,2
2025-08,부산광역시,여성,20,외무통일,1
2025-08,부산광역시,여성,20,우정,2
2025-08,부산광역시,여성,20,재정,1
2025-08,부산광역시,여성,20,주택_건축,7
2025-08,부산광역시,여성,20,체육,1
2025-08,부산광역시,여성,20,해양수산,1
2025-08,부산광역시,여성,20,행정_안전,27
2025-08,부산광역시,여성,20,환경,6
2025-08,부산광역시,여성,30,경찰_검찰_법원,39
2025-08,부산광역시,여성,30,과학기술,17
2025-08,부산광역시,여성,30,관광,9
2025-08,부산광역시,여성,30,교육,19
2025-08,부산광역시,여성,30,교통,102
2025-08,부산광역시,여성,30,국방,6
2025-08,부산광역시,여성,30,기타,24
2025-08,부산광역시,여성,30,노동,31
2025-08,부산광역시,여성,30,농림_축산,12
2025-08,부산광역시,여성,30,도로,16
2025-08,부산광역시,여성,30,도시,6
2025-08,부산광역시,여성,30,문화,11
2025-08,부산광역시,여성,30,방송통신,14
2025-08,부산광역시,여성,30,보건,48
2025-08,부산광역시,여성,30,복지,14
2025-08,부산광역시,여성,30,산업_통상,59
2025-08,부산광역시,여성,30,세무,8
